"ID","Meal Plan Description","Term Session Description","Entry Status Description","Room Location Description"
"600905026","Bronze","Spring 2023","Cancelled","Off Campus"
"670245237","Cardinal","Spring 2023","In Room","Friley Hall"
"610325332","Cardinal","Spring 2023","In Room","Willow Hall"
"790335328","Cardinal","Spring 2023","In Room","Maple Hall"
"790515599","CyFlex","Spring 2023","In Room","Geoffroy Hall"
"740785750","Bronze","Spring 2023","Cancelled","Off Campus"
"760785761","Cardinal","Spring 2023","In Room","Friley Hall"
"770795797","Gold","Spring 2023","In Room","Maple Hall"
"760975938","Gold","Spring 2023","In Room","Maple Hall"
"800925049","Cardinal","Spring 2023","In Room","Martin Hall"
"820985027","Gold","Spring 2023","In Room","Friley Hall"
"860035004","Cardinal","Spring 2023","In Room","Larch Hall"
"870015088","Cyclone","Spring 2023","In Room","Maple Hall"
"850195104","Cardinal","Spring 2023","In Room","Barton Hall"
"820315331","Cardinal","Spring 2023","In Room","Willow Hall"
"830315384","Cardinal","Spring 2023","In Room","Helser Hall"
"840495422","Cardinal","Spring 2023","In Room","Frederiksen Court 21"
"810665610","Cardinal","Spring 2023","History","Off Campus"
"830735777","Gold","Spring 2023","In Room","Helser Hall"
"840775712","Gold","Spring 2023","In Room","Friley Hall"
"860805806","Gold","Spring 2023","In Room","Martin Hall"
"880865878","Gold","Spring 2023","In Room","Friley Hall"
"870925937","Cardinal","Spring 2023","In Room","Elm Hall"
"990335141","Cardinal","Spring 2023","In Room","Wallace Hall"
"920115238","Gold","Spring 2023","In Room","Welch Hall"
"920345322","Cardinal","Spring 2023","In Room","Oak Hall"
"940615685","Cardinal","Spring 2023","In Room","Maple Hall"
"940745754","Gold","Spring 2023","In Room","Oak Hall"
"020076086","105 Flex Block","Spring 2023","In Room","Schilletter Village 07"
"060166164","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"070176112","25 Flex Block","Spring 2023","Application","Off Campus"
"010246290","Gold","Spring 2023","In Room","Geoffroy Hall"
"010286347","25 Flex Block","Spring 2023","Application","Off Campus"
"010336477","Cardinal","Spring 2023","In Room","Friley Hall"
"090546514","Cardinal","Spring 2023","In Room","Barton Hall"
"080636607","Cardinal","Spring 2023","In Room","Larch Hall"
"050976931","Cardinal","Spring 2023","In Room","Wallace Hall"
"140036034","Cardinal","Spring 2023","In Room","Helser Hall"
"100096139","Cardinal","Spring 2023","In Room","Willow Hall"
"150256253","85 Flex Block","Spring 2023","Cancelled","Off Campus"
"150456411","50 Flex Block","Spring 2023","Application","Off Campus"
"180466405","Cardinal","Spring 2023","In Room","Friley Hall"
"190446495","50 Flex Block","Spring 2023","In Room","Frederiksen Court 73"
"150806885","Cardinal","Spring 2023","In Room","Willow Hall"
"280096007","Cardinal","Spring 2023","In Room","Oak Hall"
