"ID","Fall 2021","Spring 2022","Fall 2022","Spring 2023","Fall 2023","Spring 2024","Fall 2024","Spring 2025"
10733392,NA,NA,"Cardinal","Cardinal","Gold","Campanile","Cardinal","Cardinal"
10827880,NA,NA,NA,NA,NA,NA,"Cardinal","Gold"
10887830,NA,NA,"Cyclone","Cyclone",NA,NA,NA,NA
10914970,"Silver",NA,NA,NA,NA,NA,NA,NA
11091154,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
11095088,NA,NA,NA,NA,"Cardinal","Cardinal","Cardinal",NA
11102232,"50 Flex Block",NA,"85 Flex Block",NA,NA,NA,NA,NA
11117207,NA,NA,"Cardinal","Cardinal","100 Meal Blocks",NA,"50 Meal Blocks",NA
11167221,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
11192264,NA,NA,NA,NA,"Cardinal","Cardinal","Cardinal","Cardinal"
11209316,NA,NA,"Gold","Gold",NA,NA,NA,NA
11273332,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
11286310,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
11312462,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
11316401,NA,NA,NA,NA,"Cardinal","Cardinal","Gold","Gold"
11351452,"85 Flex Block","85 Flex Block",NA,NA,NA,NA,NA,NA
11376400,NA,NA,"Gold","Gold",NA,NA,NA,NA
11419654,"Cardinal","Cardinal","Cardinal","Cardinal","Cardinal","Cardinal","50 Meal Blocks",NA
11463639,"Gold","Gold","105 Flex Block","105 Flex Block","100 Meal Blocks","100 Meal Blocks","100 Meal Blocks",NA
11521792,NA,NA,NA,NA,NA,NA,NA,"Cardinal"
11566630,NA,NA,NA,NA,"50 Meal Blocks",NA,"50 Meal Blocks",NA
11617839,"Cardinal","Cardinal","Bronze","Bronze",NA,NA,NA,NA
11665752,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
11701825,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
11712792,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
11714862,"CyFlex","CyFlex","Silver","Silver","Campanile","Campanile",NA,NA
11727936,"Cardinal","Cardinal",NA,NA,NA,NA,NA,NA
11811952,"Bronze","Bronze","Silver","Silver","100 Meal Blocks","50 Meal Blocks",NA,NA
11875901,NA,NA,"Cardinal","Gold","50 Meal Blocks",NA,NA,NA
11951097,NA,NA,NA,NA,"Cardinal","Cardinal",NA,NA
12010253,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
12074253,NA,NA,"50 Flex Block","50 Flex Block",NA,NA,NA,NA
12136321,NA,NA,"Cardinal","Cardinal","Cardinal","Campanile","Campanile","Campanile"
12142391,"Cardinal",NA,NA,NA,NA,NA,NA,NA
12260497,NA,NA,NA,NA,"Cardinal","Cardinal",NA,NA
12271464,NA,NA,NA,NA,"Cardinal","Gold",NA,NA
12288921,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
12329658,NA,NA,NA,NA,NA,NA,"Cardinal",NA
12453018,NA,NA,NA,NA,"Cardinal","Cardinal","Gold","Campanile"
12542703,"Silver","Bronze","Bronze","Bronze","Campanile",NA,NA,NA
12568804,NA,"25 Flex Block",NA,NA,NA,NA,NA,NA
12591724,"Cardinal","Cardinal","Silver","Silver","Campanile","Campanile","25 Meal Blocks",NA
12603813,"Gold","Gold",NA,NA,NA,NA,NA,NA
12622803,"Cardinal","Cardinal","Cardinal","Cardinal","50 Meal Blocks",NA,"50 Meal Blocks",NA
12633824,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
12749018,NA,NA,"Cardinal","Cardinal",NA,NA,NA,NA
12847050,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
12856149,"Cardinal","Gold",NA,NA,NA,NA,NA,NA
12873033,NA,NA,NA,NA,"Cardinal",NA,NA,NA
12940173,NA,NA,NA,NA,NA,NA,"Cardinal","Cardinal"
12964219,"Cardinal","Cardinal","Cardinal","105 Flex Block",NA,NA,NA,NA
