Rating,Body,Dining Hall,Date,reviewUrl
5,,Conversations Dining,11/18/2015,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN3aEs2ZlZnEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICwhK6fVg%7CCgwI0-SwsgUQgNHl9gI%7C?hl=en
5,,Conversations Dining,8/20/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURVNnBXVmRREAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDU6pWVdQ%7CCgwInbfv6gUQ-Iyf1gM%7C?hl=en
5,,Conversations Dining,8/29/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURVeGV2Z2hnRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDUxevghgE%7CCgwIhNig6wUQ6P2S0wM%7C?hl=en
3,Get and go really ruined convos. It still has decent food (better than seasons) but the wait is often 30 mins long. At that point you are better off walking to windows and then back.,Conversations Dining,8/22/2020,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNDanZuYXRRRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICCjvnatQE%7CCgwIp86E-gUQ4LGdkQI%7C?hl=en
2,"No longer dine in, get and go option only",Conversations Dining,12/19/2022,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCekpLUnRBRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICBzJKRtAE%7CCgwIwKD_nAYQoPanjQI%7C?hl=en
4,They have a good selection and place to sit. I wish this place felt as open as seasons though.,Conversations Dining,3/5/2017,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNRd3V5Ul9RRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICQwuyR_QE%7CCgwItdnxxQUQwN6c-AI%7C?hl=en
3,Some of the best cereal on campus. Usually pretty crowded though,Conversations Dining,4/1/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNZbU1palpREAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICYmMijZQ%7CCgwIv_6F5QUQ0IKYqAM%7C?hl=en
4,,Conversations Dining,10/19/2021,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMwb091VlBBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIC0oOuVPA%7CCgsIkOK6iwYQyMuFHQ%7C?hl=en
5,,Conversations Dining,12/19/2018,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURJeUxmdEpREAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDIyLftJQ%7CCgwIgafn4AUQkayE2gM%7C?hl=en
4,"Best Get and Go location on campus. Wings on Wednesday are a must have, not the best in the world but wings are wings.",Conversations Dining,11/28/2024,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURQNktINkZREAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDP6KH6FQ%7CCgwIhvOiugYQyJbIzwE%7C?hl=en
4,,Conversations Dining,1/21/2020,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNzbVBLeG53RRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICsmPKxnwE%7CCgsIuImZ8QUQ6Ia6Tg%7C?hl=en
3,,Conversations Dining,5/6/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURZaXZENVNREAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDYivD5SQ%7CCgwIvpPC5gUQ6M3bwwI%7C?hl=en
4,,Conversations Dining,9/3/2018,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNRN183aUlBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICQ7_7iIA%7CCgwIgoCy3AUQoM-xkQE%7C?hl=en
5,,Conversations Dining,2/4/2022,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURtNWNuMVdBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDm5cn1WA%7CCgwI59jyjwYQ4NzEngE%7C?hl=en
4,Gets less full than Udcc so it's easier to find a spot during lunch hour. They have blue bunny ice cream which is great.,Conversations Dining,3/28/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNZd09McGFREAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICYwOLpaQ%7CCgwIk7f05AUQuJ6i3QI%7C?hl=en
5,,Conversations Dining,9/7/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURVdDdEc3ZBRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDUt7DsvAE%7CCgsI7fnP6wUQ-JTOCQ%7C?hl=en
4,,Conversations Dining,4/3/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNZeEs3MWhRRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICYxK71hQE%7CCgsI2vOP5QUQ-OrlWQ%7C?hl=en
